date_bin,npp_mean,npp_sd,n_profiles
2023-04-16,1100.695545748981,,1
2023-07-15,1770.4035940976582,,1
2023-10-28,774.0698366769932,,1
2024-05-25,1494.4418946027429,,1
2024-06-09,1338.1891170134836,530.030095565106,2
2024-07-24,1340.3900843699669,202.68061188403595,3
2024-08-08,963.4032409742092,,1
2024-08-23,635.677008256216,,1
2024-09-22,823.4762072486172,138.0009740596447,3
2024-10-07,634.6608247236221,132.0626540124778,2
2024-10-22,297.94193755765656,116.94508483787023,3
2024-11-06,205.74308470133462,120.87693117321882,4
2024-11-21,45.497580008887574,37.23183225234253,3
2024-12-06,35.42790302773921,14.60011264612617,6
2024-12-21,19.661174529117183,3.002579798487467,3
2025-01-05,18.445067144604348,14.028353769707076,2
2025-01-20,112.41551943948554,,1
2025-02-04,99.28087092802059,23.837142822534844,2
2025-02-19,87.82906171952666,49.715660014777974,4
2025-03-21,385.435696859239,,1
2025-06-04,1945.7045942072648,,1
