float_wmo,date,prof_number,dt,NCP
5903743,2012-07-02,NA,15,15.64055693397359
5903743,2012-07-17,NA,15,23.1102863989068
5903743,2012-08-01,NA,15,10.310353436208686
5903743,2012-08-16,NA,15,1.8745918655036804
5903743,2012-08-31,NA,15,20.985119489802564
5903743,2012-09-15,NA,15,-0.9848882153015116
5903743,2012-09-30,NA,15,-3.1350162812769993
5903743,2012-10-15,NA,15,-9.054619760155909
5903743,2012-10-30,NA,15,-14.596905348437213
5903743,2012-11-14,NA,15,-36.4809121261208
5903743,2012-11-29,NA,15,-54.95587434548579
5903743,2012-12-14,NA,15,-23.72731003731511
5903743,2012-12-29,NA,15,-17.278954583595123
5903743,2013-01-13,NA,15,4.93517329613576
5903743,2013-01-28,NA,15,4.489110440955956
5903743,2013-02-12,NA,15,20.112053317858088
5903743,2013-02-27,NA,15,-4.384616980177973
5903743,2013-03-14,NA,15,17.585764996955945
5903743,2013-03-29,NA,15,2.329477968792772
5903743,2013-04-13,NA,15,13.736005213169895
5903743,2013-04-28,NA,15,27.95884695284116
5903743,2013-05-13,NA,15,16.71241796123697
5903743,2013-05-28,NA,15,17.13895399455563
5903743,2013-06-12,NA,15,4.2651783583702425
5903743,2013-06-27,NA,15,13.603616259079669
5903743,2013-07-12,NA,15,25.94474468253737
5903743,2013-07-27,NA,15,-6.231803546670007
5903743,2013-08-11,NA,15,9.079025288375597
5903743,2013-08-26,NA,15,-0.6121063090595491
5903743,2013-09-10,NA,15,10.795856924516624
5903743,2013-09-25,NA,15,-18.19919461859744
5903743,2013-10-10,NA,15,-4.7499872743249645
5903743,2013-10-25,NA,15,1.7971343237689168
5903743,2013-11-09,NA,15,-5.7505748203702645
5903743,2013-11-24,NA,15,-21.19751647886178
5903743,2013-12-09,NA,15,-5.0741297000175605
5903743,2013-12-24,NA,15,2.6521128349848957
5903743,2014-01-08,NA,15,-4.458094161053895
5903743,2014-01-23,NA,15,21.720851653753705
5903743,2014-02-07,NA,15,-20.287494229213447
5903743,2014-02-22,NA,15,-10.548323210196713
5903743,2014-03-09,NA,15,-5.533580220147049
5903743,2014-03-24,NA,15,-19.35758601661119
5903743,2014-04-08,NA,15,6.619498064856829
5903743,2014-04-23,NA,15,4.475482080445842
5903743,2014-05-08,NA,15,20.699858533013185
5903743,2014-05-23,NA,15,15.98041423953285
5903743,2014-06-07,NA,15,12.225705358379605
5903743,2014-06-22,NA,15,11.914143681379358
5903743,2014-07-07,NA,15,8.472289499332215
5903743,2014-07-22,NA,15,8.878915622651892
5903743,2014-08-06,NA,15,7.941996532800939
5903743,2014-08-21,NA,15,1.9312615996465483
5903743,2014-09-05,NA,15,10.031455565001453
5903743,2014-09-20,NA,15,0.03727023521961238
5903743,2014-10-05,NA,15,-7.1664013474962935
5903743,2014-10-20,NA,15,-17.599005500537153
5903743,2014-11-04,NA,15,-15.90573737072436
5903743,2014-11-19,NA,15,-24.122710485330416
5903743,2014-12-04,NA,15,-11.260021583479757
5903743,2014-12-19,NA,15,-24.299197281057836
5903743,2015-01-03,NA,15,5.76891709247747
5903743,2015-01-18,NA,15,-3.8562697189550295
5903743,2015-02-02,NA,15,-6.578639133325256
5903743,2015-02-17,NA,15,12.161538222053832
5903743,2015-03-04,NA,15,12.203811223905136
5903743,2015-03-19,NA,15,-16.940981195725257
5903743,2015-04-03,NA,15,-3.362397086502571
5903743,2015-04-18,NA,15,-3.3935529206267336
5903743,2015-05-03,NA,15,14.006599573939571
5903743,2015-05-18,NA,15,15.436894405233163
5903743,2015-06-02,NA,15,15.329488300871109
5903743,2015-06-17,NA,15,17.277141956485917
5903743,2015-07-02,NA,15,11.420357078830365
5903743,2015-07-17,NA,15,10.808812349490903
5903743,2015-08-01,NA,15,4.960403504599989
5903743,2015-08-16,NA,15,12.792933247148463
5903743,2015-08-31,NA,15,-3.338757601043639
5903743,2015-09-15,NA,15,-0.6971218460292995
5903743,2015-09-30,NA,15,-5.361127034345077
5903743,2015-10-15,NA,15,-19.777956896332967
5903743,2015-10-30,NA,15,-9.910263012138534
5903743,2015-11-14,NA,15,-43.54475075735575
5903743,2015-11-29,NA,15,-38.02685870588674
5903743,2015-12-14,NA,15,-41.81103512429904
5903743,2015-12-29,NA,15,-52.079627565601854
5903743,2016-01-13,NA,15,7.420905284912008
5903743,2016-01-28,NA,15,0.7504636879337245
5903743,2016-02-12,NA,15,-7.59706537288868
5903743,2016-02-27,NA,15,1.3284012866384651
5903743,2016-03-13,NA,15,-1.9147211474635961
5903743,2016-03-28,NA,15,4.693650959699812
5903743,2016-04-12,NA,15,16.285098823386523
5903743,2016-04-27,NA,15,17.618532840954693
5903743,2016-05-12,NA,15,20.90824517753243
5903743,2016-05-27,NA,15,8.621124717840098
5903743,2016-06-11,NA,15,21.72015672914829
5903743,2016-06-26,NA,15,17.965395103215155
