date_bin,npp_mean,npp_sd,n_profiles
2021-05-19,1198.6999029361086,,1
2021-06-18,835.1307110936095,,1
2021-07-18,1055.2906950049346,,1
2021-09-01,1014.8814951230802,,1
2021-09-16,336.3533693094256,,1
2021-10-01,718.2829857620607,,1
2021-12-30,0.1027479169483508,,1
2022-01-14,3.730370348018217,,1
2022-01-29,38.62141878042848,,1
2022-02-13,80.20908834732637,5.228726026205333,2
2022-02-28,192.24961989337794,92.67237188907646,3
2022-03-15,420.8085892562307,253.82207989767164,2
2022-04-14,456.9094140116699,,1
2022-04-29,297.0579771169289,,1
2022-05-14,764.4936312601178,,1
2022-05-29,919.3163377970668,,1
2022-06-13,1256.352560124575,433.7596401087271,2
2022-07-13,293.7878810466748,,1
2022-07-28,649.4276216892387,123.91599085100289,3
2022-08-12,975.0481782031687,235.0687759346771,3
2022-09-11,770.2685934826447,,1
2022-10-11,377.58515446007965,59.49060021923299,3
2023-01-09,82.81660127616398,143.4678136436836,3
2023-01-24,4.933443735597317,4.956642889382331,4
2023-02-08,45.424989957719845,44.01263092147634,5
2023-02-23,164.10664638799568,84.05873549540523,5
2023-03-10,287.13719567716436,130.08918316126395,7
2023-03-25,407.73618967359164,141.18516310548824,9
2023-04-09,789.0151246722942,186.65351414733917,15
2023-04-24,776.5933001215318,292.5093257789907,10
2023-05-09,1180.716651546779,439.92102080634896,13
2023-05-24,1025.2523479036743,211.0281625216604,12
2023-06-08,1060.4234823178426,306.8686227489616,10
2023-06-23,840.4312153617404,336.3348635924259,10
2023-07-08,1011.9775185589925,359.31201003510506,9
2023-07-23,1158.6963518267864,324.56506522461615,19
2023-08-07,1207.3595177531174,350.42395235738974,17
2023-08-22,1087.9345733792989,245.16474272659985,18
2023-09-06,1154.9006071715232,227.93850094447342,9
2023-09-21,719.3160076019741,228.07220635985027,7
2023-10-06,457.5529412836908,164.2081569983549,12
2023-10-21,293.07378993414727,124.42734112752811,11
2023-11-05,33.366951097470256,49.794351577197205,13
2023-11-20,208.84646627278212,230.28055440009834,4
2023-12-05,422.32523588390063,73.59116170879565,2
2024-01-19,37.25452267899694,75.08131351483027,5
2024-02-03,19.43455030032663,18.705249241734755,6
2024-02-18,66.92796754210939,48.3689292861359,7
2024-03-04,297.8591205723666,165.65503152489674,8
2024-03-19,317.67451723783404,147.67790696726266,8
2024-04-03,575.823233468905,185.6659889956895,6
2024-04-18,721.5618685600884,228.6144055830328,7
2024-05-03,1050.5871451687742,243.27612925285644,8
2024-05-18,1673.0755844069472,346.46909727331155,9
2024-06-02,1861.4569800380907,367.76527540327015,27
2024-06-17,1157.4194260399383,502.4450869729473,19
2024-07-02,808.8280579832375,223.65276279286974,19
2024-07-17,744.248343081514,217.1849898966742,19
2024-08-01,709.6969254195811,223.9133552955355,19
2024-08-16,877.3851806266226,275.77267552921273,19
2024-08-31,857.4823369454139,249.24270164883768,18
2024-09-15,718.472833681703,226.90445163842793,18
2024-09-30,581.6929630826384,178.817800853278,14
2024-10-15,219.49618813414472,126.02648922424703,15
2024-10-30,93.61269733859186,59.91623795054337,14
2024-11-14,126.8037736564599,202.1332943387872,12
2024-11-29,145.0135352384087,250.58741557555072,3
2024-12-29,107.38520922486062,60.72996979857719,5
2025-01-13,3.633893460266657,4.529686559667227,7
2025-01-28,8.762377284658077,9.197281612828162,13
2025-02-12,21.666295505469613,15.41990236315089,10
2025-02-27,224.8822305239539,126.78839132647471,14
2025-03-14,278.77476250363975,86.43597017929261,8
2025-03-29,476.2410856141612,234.29877461892795,9
2025-04-13,526.130979309746,245.12652895556184,13
2025-04-28,753.3769112946638,427.88860785582756,17
2025-05-13,1152.269903427707,472.1139220875789,13
2025-05-28,1661.4763602558455,621.9408969924694,15
2025-06-12,1531.068813355447,624.2295136377426,12
2025-06-27,1063.0331315456751,415.02710847866257,16
2025-07-12,786.1683028382862,253.81039977036855,13
2025-07-27,815.9652434675511,256.6793302961469,18
2025-08-11,821.1997445810113,194.24614419812255,14
2025-08-26,861.6053033184681,230.93547241210723,14
2025-09-10,1086.860365650549,214.40247597815554,12
2025-09-25,555.3923883212935,323.1995589414664,12
2025-10-10,580.6957971297492,362.36916787254074,11
2025-10-25,223.2155131094205,150.25431247449825,17
2025-11-09,26.758258325949512,40.40637725331122,11
2025-11-24,0.6020213977401694,0.26264372985915313,5
