date_grid,NCP,run,datenum,loess_ncp,NCP_q05,NCP_q95
2020-02-01,-23.2766346675081,with entrainment,18293,5.961198468351048,-49.35619457206788,15.512428451196998
2020-02-11,-35.47113612346958,with entrainment,18303,5.833793091292693,-54.10479483492377,2.971638454484786
2020-02-21,-25.43858931901658,with entrainment,18313,5.703065636421215,-54.73412414265329,6.644311381625419
2020-03-02,-15.800616526327417,with entrainment,18323,5.570662922593087,-48.921415674738824,20.02482104706918
2020-03-12,4.058451556422776,with entrainment,18333,5.438231768664783,-33.344012294197064,36.09794492432941
2020-03-22,20.289275743743445,with entrainment,18343,5.307418993492775,-7.529587117048608,53.90374775047821
2020-04-01,24.114320321419818,with entrainment,18353,5.179871415933539,-7.843210515678332,55.555587780050516
2020-04-11,39.514389788091854,with entrainment,18363,5.057235854843542,2.76012139206075,75.62929893242881
2020-04-21,38.33028577561006,with entrainment,18373,4.941159129079262,5.716078447825115,75.5794726520996
2020-05-01,39.03623555948992,with entrainment,18383,4.833288057497172,4.502299101765004,71.01379836440007
2020-05-11,23.597152937504198,with entrainment,18393,4.7352694589537405,-9.412214695143588,54.67509328931929
2020-05-21,16.209827455437026,with entrainment,18403,4.648750152305444,-12.946698294270632,49.44018413717924
2020-05-31,16.92592486073905,with entrainment,18413,4.575376956408756,-12.845305526454393,50.627003041161224
2020-06-10,24.65797528360745,with entrainment,18423,4.516796690120147,-9.483424553864234,55.90010140822822
2020-06-20,11.324185369821937,with entrainment,18433,4.4771853279146665,-18.262293230357564,37.31971732662393
2020-06-30,7.052250182042641,with entrainment,18443,4.457054437355145,-18.27860846288932,32.25745698938249
2020-07-10,4.308888811708671,with entrainment,18453,4.452554226929733,-21.952919111964295,33.42111108386997
2020-07-20,18.927047886651163,with entrainment,18463,4.45983490512658,-4.17932972097342,40.7108678197824
2020-07-30,20.46284340372971,with entrainment,18473,4.475046680433833,-3.0207943544450195,40.6348848388745
2020-08-09,21.90595029565268,with entrainment,18483,4.494339761339642,-1.3361328360080618,49.883246489915926
2020-08-19,1.0459424774247978,with entrainment,18493,4.513864356332157,-23.062081059654652,26.431071407092436
2020-08-29,2.752707508403094,with entrainment,18503,4.529770673899527,-18.99059551293006,29.173764257917206
2020-09-08,-9.084541334609481,with entrainment,18513,4.5382089225299005,-33.571325171960595,20.414331099272836
2020-09-18,-11.951513266376836,with entrainment,18523,4.535329310711427,-39.62129433547949,20.738200661307292
2020-09-28,-16.04401090978048,with entrainment,18533,4.517282046932256,-40.92253631088588,8.857039045710227
2020-10-08,-23.124679409213698,with entrainment,18543,4.480217339680535,-50.58222980173836,2.3782479426457157
2020-10-18,-39.043606420818584,with entrainment,18553,4.420285397444415,-55.01679144164779,-9.859218581483551
2020-10-28,-51.794274920449325,with entrainment,18563,4.347984877447313,-57.80927866185743,-29.050596094139685
2020-11-07,-48.472645531214475,with entrainment,18573,4.2759067577530825,-57.37620244356758,-24.33766302630279
2020-11-17,-20.073884870800256,with entrainment,18583,4.2033397281105165,-42.450321676530926,5.667387401992713
2020-11-27,-14.776756938468434,with entrainment,18593,4.129572478268413,-35.994633237736046,5.150611107140396
2020-12-07,-11.067553562567761,with entrainment,18603,4.053893697975568,-28.185755533174927,7.615551637042181
2020-12-17,-8.705372671763575,with entrainment,18613,3.97559207698078,-32.57635983413663,8.798805124033652
2020-12-27,-1.8015050215435253,with entrainment,18623,3.8939563050328436,-19.189379627642243,17.409700271759178
