date_grid,mld,zeu,int_N_mmol_m2,next_int_N_mmol_m2,mld_concentration,sub_mld_concentration,int_N_smooth,next_int_N_smooth,dt,diff_mld,we,delta,diff,nitrate_consumption,c_consumption,NCP,datenum,time_step_label
2020-02-01,155.3328108053082,40.00000000000265,2146.381009416374,2076.6011711129236,13.734867852781957,14.081219420141542,2141.5437257481394,2070.71846683718,10,-5.058407619741729,0,0.3463515673595854,0,-35.13454289435185,-23.2766346675081,-23.2766346675081,18293,10 days
2020-02-11,150.34467540269816,40.000000000001464,2114.438007781769,2044.1704806063626,14.040832013748751,14.187934913878621,2124.25980438204,2053.1197828511945,10,-4.988135402610055,0,0.1471029001298696,0,-53.54133754485974,-35.47113612346958,-35.47113612346958,18303,10 days
2020-02-21,145.2554869044685,40.00000000000057,2111.960395947976,2038.5876968342982,14.422050254359215,14.512256366275299,2091.517653521408,2021.7819075727402,10,-5.089188498229646,0,0.09020611191608374,0,-38.397870670213706,-25.43858931901658,-25.43858931901658,18313,10 days
2020-03-02,140.72344636057315,40.00000000000002,2048.154556834479,1982.5875452775608,14.384095479844621,14.547227158876842,2045.631894782291,1977.8569870550639,10,-4.532040543895363,0,0.1631316790322206,0,-23.849987209550818,-15.800616526327417,-15.800616526327417,18323,10 days
2020-03-12,136.24716608418814,39.99999999999966,1976.780731564418,1912.3957190533333,14.376944855743204,14.571849307107007,1971.731022441596,1906.6663623083266,10,-4.476280276385012,0,0.19490445136380252,0,6.125964613467886,4.058451556422474,4.058451556422474,18333,10 days
2020-03-22,131.6807239176589,39.999999999999446,1890.25777892589,1825.0158225940856,14.179673834602472,14.346184851132213,1876.0410404309778,1812.1946748548023,10,-4.566442166529242,0,0.16651101652974098,0,30.625321877348824,20.289275743743595,20.289275743743595,18343,10 days
2020-04-01,127.25780670985944,39.99999999999935,1761.0846108026249,1699.172482916988,13.959933141119876,14.229799941551159,1775.7957007847351,1714.2891905628385,10,-4.422917207799458,0,0.2698668004312825,0,36.3989740700672,24.11432032141952,24.11432032141952,18353,10 days
2020-04-11,123.13366433838425,39.99999999999934,1676.0447126256895,1618.6792661774418,13.774350628314462,14.38643367008332,1654.644828618549,1596.5985009706876,10,-4.1241423714751875,0,0.6120830417688587,0,59.644361944289585,39.514389788091854,39.514389788091854,18363,10 days
2020-04-21,119.12004799423833,39.99999999999937,1526.8051624273317,1471.943753817634,13.424914064453313,14.046187532255553,1538.7414658376913,1483.0509955130904,10,-4.013616344145916,0,0.62127346780224,0,57.857035132996316,38.33028577561006,38.33028577561006,18373,10 days
2020-05-01,115.19236571295427,39.999999999999424,1413.3745224600527,1358.529966544196,13.699371664326117,14.297358986346165,1424.1283758006527,1369.8128905712522,10,-3.9276822812840635,0,0.5979873220200478,0,58.92261971243761,39.03623555948992,39.03623555948992,18383,10 days
2020-05-11,111.42241305741295,39.99999999999949,1332.2054425145732,1278.9649513519278,13.748206261860755,14.418687312314614,1334.1945465146425,1281.784791303274,10,-3.769952655541317,0,0.6704810504538585,0,35.61834405660966,23.5971529375039,23.5971529375039,18393,10 days
2020-05-21,107.9357289367029,39.99999999999956,1257.0036745693008,1207.8594560136985,13.52485284454655,14.132784738256367,1257.3171272195957,1206.4538133859685,10,-3.486684120710052,0,0.6079318937098179,0,24.4676640836783,16.209827455436873,16.209827455436873,18403,10 days
2020-05-31,104.25043524803911,39.999999999999645,1182.7422645749125,1132.5370327922792,13.882286510466708,14.692532862973,1180.9052475584378,1130.72194939097,10,-3.6852936886637906,0,0.810246352506292,0,25.548565827530638,16.92592486073905,16.92592486073905,18413,10 days
2020-06-10,100.8200096349953,39.99999999999972,1102.9698035311,1051.769359366933,13.969090933410536,14.657816653258902,1093.5023640572228,1044.5726305305816,10,-3.430425613043809,0,0.6887257198483656,0,37.21958533374709,24.65797528360745,24.65797528360745,18423,10 days
2020-06-20,97.50258789406968,39.99999999999981,994.7950240656558,949.4114994325328,13.68574151296371,14.586378510684657,1027.4795205383978,980.433798574563,10,-3.3174217409256244,0,0.9006369977209463,0,17.093109992183827,11.324185369821786,11.324185369821786,18433,10 days
2020-06-30,94.30304623935977,39.999999999999886,984.6737340184366,940.1205369242238,13.84466964799845,14.640226922314131,969.7888926394044,925.3242744693653,10,-3.199541654709904,0,0.7955572743156818,0,10.64490593515859,7.052250182042566,7.052250182042566,18443,10 days
2020-07-10,91.21072382307945,39.99999999999998,929.8979198341202,886.4407870513396,13.922265886165743,14.646858449060847,918.8202913573522,875.3969787217599,10,-3.092322416280325,0,0.7245925628951042,0,6.503983112013088,4.308888811708671,4.308888811708671,18453,10 days
2020-07-20,88.23069694938465,40.00000000000007,841.8892202194993,799.6296121897166,13.813803670305202,14.69988589475435,846.8278498362488,804.8427615636393,10,-2.980026873694797,0,0.8860822244491491,0,28.569128885511077,18.92704788665109,18.92704788665109,18463,10 days
