date_grid,NCP_mean,NCP_sd,NCP_q05,NCP_q95,n_iter,time_step_label
2020-02-17,-33.432847608691674,14.166134777505727,-56.27520678187487,-9.282720800883823,100,15 days
2020-03-03,-14.901049109673657,31.458472139825773,-55.23334587182522,48.59675934516913,100,15 days
2020-03-18,-15.832180141797027,15.654088198289116,-39.438651885310414,8.479439386741758,100,15 days
2020-04-02,28.19492836447634,16.525372851786532,2.2105654174307285,51.031508396448274,100,15 days
2020-04-17,57.48684339828394,30.09830950673747,12.520875447096461,106.84228274116494,100,15 days
2020-05-02,53.91893474050832,7.376511875230806,42.47419929345802,65.52561229366938,100,15 days
2020-05-17,26.31948426133429,6.729021213627134,15.776858597733838,38.785412075930616,100,15 days
2020-06-01,10.274710055626471,3.346594627295876,5.616108737387888,16.211667878242785,100,15 days
2020-06-16,12.65114179050183,5.391796289552371,3.7285492644471097,20.75679676142825,100,15 days
2020-07-01,14.595919519331598,4.075001247130302,9.510412105669484,21.90306211293979,100,15 days
2020-07-16,8.791324125106996,1.5906550229735574,6.842225744271273,12.212238062778187,100,15 days
2020-07-31,9.560098646276261,1.568518130905959,7.046353822547962,11.910968508935875,100,15 days
2020-08-15,12.766057910070456,1.9689844552008247,9.673730018637503,16.12538606967219,100,15 days
2020-08-30,0.6936948756530636,3.508513766049472,-5.283091984687806,6.159171938703015,100,15 days
2020-09-14,-17.962644604865666,6.55361384889272,-28.8443653417334,-6.983479736540383,100,15 days
2020-09-29,-33.78485796615214,4.457846051074212,-42.10730465020325,-27.864889700525367,100,15 days
2020-10-14,-43.35946065928733,7.720129807648876,-54.47723450894467,-29.948816244921918,100,15 days
2020-10-29,-28.966016522925592,4.554318055970912,-36.80594108735073,-21.99950566036985,100,15 days
2020-11-13,-37.47693054276362,4.396247679443876,-43.31887232635129,-30.091510446419342,100,15 days
2020-11-28,-13.864015172647282,7.737844456654207,-26.754881043278445,-1.9625047818779662,100,15 days
2020-12-13,-20.823516233277186,5.155980844325504,-28.988238579226607,-12.819771955510067,100,15 days
2020-12-28,12.41308187638326,14.561314633615405,-19.246490939635716,28.704459934091787,100,15 days
2021-01-12,-29.430251394402813,16.340116742165915,-52.94690975931352,-3.571591759548735,100,15 days
2021-01-27,-18.188487874371663,15.63191523985852,-41.75036259039269,6.152948782462166,100,15 days
2021-02-11,-26.616854664122506,19.335968914532508,-54.4381936881171,6.6087233760016595,100,15 days
2021-02-26,16.49311754276975,2.0364259788164287,14.22538383456298,18.383034370290765,100,15 days
2021-03-13,16.826953219148308,1.956412056240561,14.24205536060555,18.832096502426303,100,15 days
2021-03-28,17.309758558584495,1.9263186361336315,14.596116426333916,19.27235023814511,100,15 days
2021-04-12,18.309088690088245,1.83427826023478,15.494981202099238,20.400127487787437,100,15 days
2021-04-27,19.478464567354035,1.6862172432268083,16.74314655055005,21.360606401839817,100,15 days
2021-05-12,19.44467739580832,1.3275859005438526,17.407265302689048,21.047850125148187,100,15 days
2021-05-27,17.68876781645572,0.9613456154049783,16.421586070711772,18.841824303634425,100,15 days
2021-06-11,16.318223167061703,1.2817204501035548,14.498360271586623,18.483648418567714,100,15 days
2021-06-26,16.920428622152315,1.5738576942520288,14.225890337986023,19.105922488671023,100,15 days
2021-07-11,18.728231692982238,2.3502380892564854,14.686319032307733,21.850803082625433,100,15 days
2021-07-26,19.49781874865539,3.1642521515441806,14.38985334700977,23.159341384527686,100,15 days
2021-08-10,13.554919946350132,1.7136733616512445,10.930554641365957,16.081317407912426,100,15 days
2021-08-25,-5.761299981244773,2.7788051667060296,-10.063206815290185,-1.1939201982853225,100,15 days
2021-10-09,-5.510962855974018,1.3436229912228854,-7.5787407058291425,-3.1739191223908576,100,15 days
2021-10-24,-23.77568253171199,3.5492389851495174,-29.40140458076134,-17.539691432599838,100,15 days
2021-11-08,-3.604697655413033,7.480815201245286,-16.619501334027788,10.660599587004201,100,15 days
2021-11-23,6.374771549812292,7.645278061047931,-6.758537803600197,19.76702601811438,100,15 days
2021-12-08,19.612972238708846,11.57623911197843,1.2406838739217512,38.54586217025424,100,15 days
2021-12-23,17.91947404522157,13.307955290753231,-3.187388115525329,38.23001703572935,100,15 days
2022-01-07,-0.672273315374591,20.615438238574576,-30.268630204883873,28.960413612544336,100,15 days
2022-01-22,2.69592047194711,14.825158311606547,-20.32479243902473,26.88494271617091,100,15 days
2022-02-06,37.840609284394695,28.675604088463054,-1.841329738579496,76.97796285094242,100,15 days
2022-02-21,44.801996493093654,27.756729027326013,-0.0181688975429857,81.005561959756,100,15 days
2022-03-08,31.564947468901018,24.02484899030572,-16.534154438932674,60.27775137366062,100,15 days
2022-03-23,1.9772396916092225,23.489605263378266,-25.002361589149736,38.66577858652805,100,15 days
2022-04-07,18.77153917284237,14.625433568781993,-17.28565764023323,32.72793288440432,100,15 days
2022-04-22,21.645843741128466,5.17287899109377,13.719215608615785,29.507035299731218,100,15 days
2022-05-07,17.25092854812435,2.298427842723166,13.044041936313096,20.220185945599,100,15 days
2022-05-22,12.179691920278849,2.63903149791705,8.187204212625128,16.14724414365521,100,15 days
2022-06-06,14.153375936061591,1.6921276091585433,11.017206214892084,16.335852256249826,100,15 days
2022-06-21,11.341182545987511,1.7047923640982272,9.039722816948036,14.07441474020857,100,15 days
2022-07-06,12.520620952373042,2.286926540681135,8.777027159583751,16.020947686761154,100,15 days
2022-07-21,10.290418539710656,1.0902275209456298,8.43277621289008,11.89944357229675,100,15 days
2022-08-05,5.864079469771941,1.5650324692086302,3.2694405084872025,7.932626627439347,100,15 days
2022-08-20,-4.564591581263498,1.734125463653823,-7.196244982842963,-1.9361438814873695,100,15 days
2022-09-04,-3.6946004810536466,2.851074493213588,-8.660278098578248,0.6821553068827282,100,15 days
2022-09-19,-24.752395158036176,6.837494586219166,-34.47849890978952,-12.180171293488304,100,15 days
2022-10-04,-27.285694234121248,5.524714350111156,-36.07855374876556,-19.01483689088805,100,15 days
2022-10-19,-31.0603308724215,5.609206515084748,-40.07491112113941,-20.43988872754744,100,15 days
2022-11-03,-26.826409066515204,8.411109001780801,-42.15735752639533,-13.78461323909642,100,15 days
2022-11-18,-32.06305541537986,9.779057258328885,-48.73855397876769,-15.805015224447114,100,15 days
2022-12-03,-15.499489463672546,13.36413739417354,-32.19256850343082,5.389414387080084,100,15 days
2022-12-18,0.7628845070996684,15.100810618722678,-22.215997727367196,25.578388904558263,100,15 days
2023-01-02,9.651711328473603,19.53940102460964,-20.21499408675761,43.601420724626365,100,15 days
2023-01-17,6.952707524119694,34.199322449528445,-42.17074126317653,70.97845478738188,100,15 days
2023-02-01,-1.5823034207688929,26.114348638639832,-46.25690838038568,41.16946983769965,100,15 days
2023-02-16,7.347389291494239,28.55842419856982,-32.24138939491127,56.63068640169986,100,15 days
2023-03-03,-27.83215349290528,22.328814250378514,-55.83526274144663,12.566241866321585,100,15 days
2023-03-18,-21.810782338119914,24.110089533081354,-47.38577640854213,33.372934331513044,100,15 days
2023-04-02,-17.36438820318584,23.933936215611666,-51.25408388137457,24.160576522509658,100,15 days
2023-04-17,26.67660371091783,15.673358209456756,1.4322046182745092,51.38739366609656,100,15 days
2023-05-02,31.674595231380206,16.698347175300462,5.03330657166344,60.4831695866186,100,15 days
2023-05-17,33.57973039038476,7.364145476706015,23.286749853179458,47.14825412305696,100,15 days
2023-06-01,38.97272519081393,5.110347157744389,30.52061803282915,47.41383818885033,100,15 days
2023-06-16,30.27898316432935,6.801127460482039,18.16255906940089,40.98871474180903,100,15 days
2023-07-01,17.418406963496192,3.697735531078829,11.747565316373702,23.559619483140732,100,15 days
2023-07-16,3.7569259080240336,2.2799894110338363,0.41016194145116636,7.454766018032296,100,15 days
2023-07-31,4.881342748192044,3.2774016388650824,-0.12684842736913227,10.234836613601452,100,15 days
2023-08-15,1.101233933273234,2.2230906048571915,-3.0653181005988497,4.119431835218827,100,15 days
2023-08-30,-5.802919275135593,3.393343856261925,-11.152391962895738,0.11946650292361635,100,15 days
2023-09-14,-18.535135215168502,3.340172659525602,-24.165663933600072,-12.809819882267053,100,15 days
2023-09-29,-17.54398672781824,4.735117742597624,-24.858808115526358,-10.251649543975754,100,15 days
2023-10-14,-26.650252878715776,5.413318816887659,-35.981523046366135,-18.29695605881405,100,15 days
2023-10-29,-15.08331727572084,6.3582453297420045,-24.837383144303942,-4.642838932395622,100,15 days
2023-11-13,-17.096304851804728,5.692638477007724,-25.44538892868063,-7.148669147426233,100,15 days
2023-11-28,-3.1402131062502896,12.08072142916994,-22.197828846694897,13.75248156401371,100,15 days
2023-12-13,-16.765539863410368,25.61509438118279,-53.120408281462225,20.436303800931352,100,15 days
2023-12-28,-15.765220493250261,25.83379357408701,-51.05376957251963,27.36363779031169,100,15 days
2024-01-12,-33.11508562381167,14.286672932638343,-52.657577169109054,-5.288817230431991,100,15 days
2024-01-27,-21.886939619639172,24.835718484437237,-54.06092807291628,21.87405554436338,100,15 days
2024-02-11,-27.499248169757553,20.421054411309644,-56.40634011062722,15.234740295105919,100,15 days
2024-02-26,-9.20221527952624,15.034757801203195,-31.819078200926707,16.196590390105392,100,15 days
2024-03-12,2.5414025169766106,26.411481219801498,-37.12160189869298,49.56344614936394,100,15 days
2024-03-27,64.35066678216974,17.007012283405317,36.758189909787944,87.78131920549237,100,15 days
2024-04-11,49.16735697238707,17.126959983415006,19.59206908510809,76.03873813719757,100,15 days
2024-04-26,65.44366020334165,29.070522732503854,21.120186523345602,108.59571277155366,100,15 days
2024-05-11,12.081964653944555,12.963908567620477,-7.48624513066698,36.31441427931841,100,15 days
2024-05-26,30.510338616254213,3.351125045096059,24.692736382651983,36.01947471447514,100,15 days
2024-06-10,19.81360855308178,3.652976440582154,14.38380986194803,26.531991089296273,100,15 days
2024-06-25,24.90375777308124,1.8811066717313745,21.481309520820908,27.52459817151442,100,15 days
2024-07-10,14.201884078857839,1.4277567408294798,12.349706101414066,16.36698206644173,100,15 days
2024-07-25,7.134187907907971,1.2961751448909078,5.003071921890643,9.379313216919812,100,15 days
2024-08-09,-4.835047848226253,1.0765020721716814,-6.53677648585176,-3.1736226070001305,100,15 days
2024-08-24,-11.109545319078688,1.7249105329469614,-14.038644398440534,-8.300691053737001,100,15 days
2024-09-08,-10.536383083165056,2.7390161736782033,-14.875788028514354,-6.426683980660998,100,15 days
2024-09-23,-12.547951507535478,2.9336028748457883,-16.84738650372497,-7.85710600666041,100,15 days
2024-10-08,-16.792000777621855,3.7060301599952563,-22.901409698139254,-10.474322646275713,100,15 days
2024-10-23,-6.038906072844968,8.05239957137802,-19.556621934953192,6.572433374885796,100,15 days
2024-11-07,-28.667333581897473,9.04620053018812,-41.743914660262625,-11.964050375233535,100,15 days
2024-11-22,-36.390931769960424,7.795026852477317,-48.233543401143834,-23.946136006963574,100,15 days
2024-12-07,-40.6686743613215,7.71765706112693,-55.68984686252125,-31.225073335639337,100,15 days
2024-12-22,-35.19695040826836,12.04587587682584,-54.64610636451883,-16.938447425930867,100,15 days
2025-01-06,-34.29802034666331,13.685824454232481,-55.28941194494198,-13.051827257555441,100,15 days
2025-01-21,27.06185969003774,19.771697109394236,-3.3006041639588757,60.60704775011322,100,15 days
2025-02-05,21.489802450962298,21.422258929979783,-11.835797894519912,54.695838935359674,100,15 days
2025-02-20,43.33644199825563,20.54581414788603,13.916951108526378,73.44580397800074,100,15 days
2025-03-07,-17.96476636980111,22.766597027961787,-48.68434445027227,18.979904653486003,100,15 days
2025-03-22,11.196297220061293,21.5640815877371,-22.609277130031906,44.53740026068873,100,15 days
2025-04-06,15.114457737865413,15.7362327353774,-9.090554233898425,37.408364271246654,100,15 days
2025-04-21,36.8595224272575,12.305043209799248,16.493201390169805,56.671286982246215,100,15 days
2025-05-06,27.26008945131546,7.591455954353273,14.873505029742937,35.84802869684795,100,15 days
2025-05-21,18.346437466152643,5.094160476709867,10.551616044641818,27.269206831276154,100,15 days
2025-06-05,23.888205386670766,4.08299526082252,16.567828962265484,30.28185255962231,100,15 days
2025-06-20,12.371811992680552,2.721718178276907,7.113419893480387,16.85578426195265,100,15 days
2025-07-05,21.074959536484315,4.2099341948903435,13.961937147173721,27.42482587805136,100,15 days
2025-07-20,14.872256998527154,3.998119740136926,8.49166562847783,20.690911029813492,100,15 days
2025-08-04,8.373168009947076,3.116891942489346,2.7474425736424504,13.22841497395173,100,15 days
2025-08-19,-5.456103954782658,3.109526008233158,-10.368049429798772,0.2687327882509054,100,15 days
2025-09-03,-7.413710101556909,5.299045110966538,-16.57739519066901,0.6269564658116923,100,15 days
2025-09-18,-5.80234114303693,6.22500743787392,-18.005538354357814,2.514298017002558,100,15 days
2025-10-03,-6.9189585358602805,6.705300470964913,-18.016344509601957,4.24695269992341,100,15 days
2025-10-18,-21.47064184001642,7.853771718731287,-31.899974149062793,-7.038229729730501,100,15 days
2025-11-02,-31.54562086007278,9.835880593152622,-45.81327816829227,-16.323516708920412,100,15 days
2025-11-17,-16.60705808045955,16.59194897810947,-42.381797962531394,14.137360927582138,100,15 days
2020-03-03,-1.1289556738998265,25.11267150703686,-41.2834280576522,44.83356014789441,100,20 days
2020-03-23,-15.410819305103134,14.4666036304906,-39.50396720626209,5.455391656192576,100,20 days
2020-04-12,37.287898008730515,15.527971299952432,9.48634424012042,61.323235471499224,100,20 days
2020-05-02,34.406084260440934,18.674170786501474,1.5810404604421278,62.972314524559145,100,20 days
2020-05-22,36.50519384383218,7.076274110100695,23.696484366376644,47.10934723701083,100,20 days
2020-06-11,10.505750103018594,2.43136377460324,6.729299215046582,14.473790972525427,100,20 days
2020-07-01,12.756292651493244,3.2407710105229914,7.239073977071411,17.31148724836571,100,20 days
2020-07-21,9.63862833564128,2.111959671153645,6.2575794274114696,12.843361685212004,100,20 days
2020-08-10,11.517900674994808,1.688669932785452,8.56322352145385,14.111787250395606,100,20 days
2020-08-30,0.17113419789165385,3.0084917513072367,-4.6110182028094915,5.3027212155550965,100,20 days
