date_grid,mld,zeu,int_N_mmol_m2,next_int_N_mmol_m2,int_N_smooth,next_int_N_smooth,dt,nitrate_consumption,c_consumption,NCP,time_step_label
2020-02-17,460.5,40,6498.383265169874,6498.383265169874,6394.408694663591,6672.629294314723,15,-82.89490926419603,-36.61191825835325,-36.61191825835325,15 days
2020-03-03,366.25,40,6614.555441156261,6991.507523795559,6709.229969374333,6834.8806635874325,15,-36.600675059610694,-16.165298151328056,-16.165298151328056,15 days
2020-03-18,483,40,7014.7512017968675,7014.7512017968675,6868.922266370072,6390.553896083181,15,-34.04160278263953,-15.035041228999125,-15.035041228999125,15 days
2020-04-02,368.25,40,6977.46015615709,5165.40296265712,6323.284059433794,4464.738190021867,15,67.26983664938689,29.710844520145876,29.710844520145876,15 days
2020-04-17,102.5,40,4977.640820347425,1214.0604056116138,4335.3784937901355,2238.7794366521202,15,129.3596962317315,57.13386583568141,57.13386583568141,15 days
2020-05-02,15.833333333333334,40,1051.034504865892,336.87494168762805,2116.2060299471764,623.6260373091512,15,122.57340670494386,54.1365879613502,54.1365879613502,15 days
2020-05-17,43,40,319.94276462821307,319.94276462821307,566.882120515078,320.16219616292994,15,56.74391679407324,25.061896584049016,25.061896584049016,15 days
2020-06-01,22.5,40,329.6690920511289,303.66888217295,295.4765519605547,286.80981533449454,15,24.685644202375272,10.902826189382411,10.902826189382411,15 days
2020-06-16,38.5,40,236.81779920232188,236.81779920232188,259.6743159925152,251.00757936645508,15,27.13549934197937,11.984845542707554,11.984845542707554,15 days
2020-07-01,34.5,40,212.53605672409464,212.53605672409464,216.27757176091265,216.2775717609122,15,34.730007605542426,15.339086692447903,15.339086692447903,15 days
2020-07-16,12,40,199.47885935632132,199.47885935632132,197.91061649811732,197.91061649811684,15,18.366955262794875,8.112071907734402,8.112071907734402,15 days
2020-07-31,35,40,181.7169334139359,181.7169334139359,176.33635650762258,183.8234987353222,15,21.574259990494255,9.528631495801628,9.528631495801628,15 days
2020-08-15,33,40,147.81327675261042,170.27470343571065,155.67527806274782,196.11086738755952,15,28.148220672574382,12.432130797053684,12.432130797053684,15 days
2020-08-30,44.5,40,137.49562402169713,236.34096531303337,195.1532799092713,255.42687244303286,15,0.9575874782882181,0.42293446957729636,0.42293446957729636,15 days
2020-09-14,61,40,300.1509389535063,359.6649485803559,296.0839374693938,395.47494982494567,15,-40.657065026360925,-17.95687038664274,-17.95687038664274,15 days
2020-09-29,69,40,450.6052494329778,590.4189355814491,469.5978121448799,622.0355206603298,15,-74.12286231993426,-32.73759752463763,-32.73759752463763,15 days
2020-10-14,82,40,658.0372480481557,916.0226778191858,716.3154602660992,1050.5916935313737,15,-94.27993960576941,-41.64030665921482,-41.64030665921482,15 days
2020-10-29,102.25,40,1040.3038833171638,1645.3334671934874,1115.6258970260521,1678.2223025507917,15,-65.03420349467842,-28.723439876816304,-28.723439876816304,15 days
2020-11-13,148,40,1648.5365597128373,2473.3107626397036,1764.2180388807258,2394.9447651300275,15,-85.99573632993406,-37.98145021238755,-37.98145021238755,15 days
