date_bin,npp_mean,npp_sd,n_profiles
2023-08-11,1461.29508169557,,1
2023-10-10,809.2143274007093,,1
2023-11-24,67.76191772298131,,1
2023-12-09,118.05306267406988,,1
2024-01-23,153.97233554459194,,1
2024-02-22,325.57535929098657,,1
2024-04-22,1475.1895892644072,,1
2024-05-22,1241.8417396432,,1
2024-06-06,2035.412119474936,,1
2024-06-21,906.0302748135076,,1
2024-08-20,1336.7733208096183,,1
2024-09-19,388.8843741457856,,1
2024-10-19,395.548721152172,,1
2024-11-03,198.6138439320264,,1
2024-11-18,66.41438438996767,,1
2025-01-02,6.916057626005689,,1
2025-01-17,11.133703810382505,,1
2025-02-16,40.79935620206517,,1
2025-03-03,322.81086859342486,,1
2025-03-18,449.225290037422,200.21661273932529,2
2025-04-02,445.97205460220493,7.292605662563632,2
2025-04-17,863.18491664876,269.110748637514,3
2025-05-02,1011.6265064168335,496.3053876900641,5
2025-05-17,993.9367061653022,353.2127755844168,5
2025-06-01,1074.209169561568,370.4618033244169,6
2025-06-16,1308.110873908325,196.41898422808572,5
2025-07-01,1464.364257565051,225.5117209027619,6
2025-07-16,1567.5973262003008,507.89816901509937,5
2025-07-31,1212.5923486065112,322.2307874827757,4
2025-08-15,1354.730329003485,139.77476958639733,2
2025-08-30,1356.2039261806735,181.53961462279423,5
2025-09-14,1223.0263293586981,184.54125261021468,2
2025-09-29,671.0659420133229,289.8380241269162,6
2025-10-14,504.48322187736835,202.3958234979521,4
2025-10-29,247.21775591078708,148.69038237290087,5
2025-11-13,142.9786205058468,79.38458427203244,3
