date_grid,mld,zeu,int_N_mmol_m2,next_int_N_mmol_m2,int_N_smooth,next_int_N_smooth,dt,nitrate_consumption,c_consumption,NCP,time_step_label
2023-02-03,520,40,6913.951305135279,6913.951305135279,6982.718160098989,6948.70911215805,10,-2.7374827905787242,-1.8135823487584048,-1.8135823487584048,10 days
2023-02-13,520,40,7000.585186052682,7123.137410717168,6935.248659119036,6976.0994006738665,10,13.460453039013373,8.91755013834636,8.91755013834636,10 days
2023-02-23,527,40,6891.209486169151,6891.209486169151,6936.015010478685,6815.684196576793,10,40.084390195181186,26.555908504307535,26.555908504307535,10 days
2023-03-05,431,40,6916.250359214226,6432.705692844056,6736.90226986841,6575.720714411688,10,78.78192670838234,52.1930264443033,52.1930264443033,10 days
2023-03-15,496,40,6403.246964221856,6403.246964221856,6772.318897514022,5486.48864309318,10,-196.59818310233368,-130.24629630529608,-65.12314815264804,10 days
2023-03-25,265,40,6997.4593691059845,3623.5132722136254,5684.821218607674,4560.1725196435555,10,-198.33257551449424,-131.39533127835244,-65.69766563917622,10 days
2023-04-04,285,40,3653.7573224951834,3653.7573224951834,4716.610539469072,2740.3759455181716,10,-156.43801982551668,-103.6401881344048,-51.8200940672024,10 days
2023-04-14,85.75,40,3498.6149268060494,943.8572418457051,2673.531395049807,1759.4872068262096,10,66.84455046836456,44.28451468529152,44.28451468529152,10 days
2023-04-24,68.6,40,868.2219358481896,680.8470561377383,1670.7000167249291,691.5391341364856,10,88.78719010128043,58.821513442098286,58.821513442098286,10 days
2023-05-04,31.166666666666668,40,645.2631875205491,449.9131044260112,653.2461823225655,574.0286465957921,10,38.292951813920126,25.369080576722084,25.369080576722084,10 days
2023-05-14,50,40,446.2534235989585,591.3257792236249,550.4968151858278,533.7375726958716,10,23.531831409964298,15.589838309101347,15.589838309101347,10 days
2023-05-24,64.33333333333333,40,559.9738344379766,559.9738344379766,483.4224124051314,460.663455479194,10,50.31516029074015,33.33379369261535,33.33379369261535,10 days
2023-06-03,11.5,40,444.03997917845976,230.6907527759784,378.1135832129237,306.99717441209754,10,82.54987226627031,54.68929037640409,54.68929037640409,10 days
2023-06-13,11,40,130.3269360223354,130.3269360223354,235.57242351318175,164.45601471235554,10,71.42475089891579,47.31889747053171,47.31889747053171,10 days
2023-06-23,15.4,40,132.35035533875072,132.35035533875072,137.82082583204974,137.82082583205067,10,26.635188880305805,17.645812633202596,17.645812633202596,10 days
2023-07-03,17.75,40,150.78518613506378,150.78518613506378,133.05540364798756,133.05540364798853,10,4.765422184063112,3.1570921969418118,3.1570921969418118,10 days
2023-07-13,11.25,40,116.0306694701489,116.0306694701489,124.65046496264797,124.65046496264893,10,8.404938685340554,5.568271879038116,5.568271879038116,10 days
2023-07-23,19.5,40,107.13553928273194,107.13553928273194,105.95013798332111,105.95013798332205,10,18.700326979327812,12.388966623804675,12.388966623804675,10 days
2023-08-02,20.333333333333332,40,94.68420519708319,94.68420519708319,108.78173988660193,108.78173988660285,10,-2.831601903279875,-1.875936260922917,-1.875936260922917,10 days
2023-08-12,7.333333333333333,40,124.5254751799913,124.5254751799913,102.72861120795687,102.7286112079578,10,6.053128678645976,4.010197749602959,4.010197749602959,10 days
2023-08-22,27.333333333333332,40,88.9761532467968,88.9761532467968,102.30618618389299,112.33757819916697,10,0.42242502406480753,0.279856578442935,0.279856578442935,10 days
2023-09-01,37.75,40,93.41693012489156,123.5111061707107,109.99275208182716,123.62561057314593,10,2.3448261173398066,1.5534473027376219,1.5534473027376219,10 days
2023-09-11,48,40,147.5851728737938,158.38957230192818,147.74421116474332,161.3770696560621,10,-24.118600591597385,-15.978572891933268,-15.978572891933268,10 days
2023-09-21,50.75,40,202.23053049554528,202.23053049554528,201.3826826611386,221.70877056500774,10,-40.0056130050765,-26.503718615863182,-26.503718615863182,10 days
2023-10-01,47.75,40,254.33234461407739,304.5062088975476,258.44524206831363,319.14871119145215,10,-36.73647150330589,-24.337912370940153,-24.337912370940153,10 days
2023-10-11,56.75,40,318.77285109531886,450.70939418126153,348.2088330087558,445.437467733225,10,-29.06012181730364,-19.25233070396366,-19.25233070396366,10 days
2023-10-21,72.5,40,471.5213033168718,581.0968001208636,474.3038780778117,679.2944175073479,10,-28.86641034458671,-19.123996853288695,-19.123996853288695,10 days
2023-10-31,85.5,40,632.617479821245,1006.0770582199164,724.085477589273,1155.046715919207,10,-44.791060081925025,-29.67407730427533,-29.67407730427533,10 days
2023-11-10,120,40,1068.1176496297026,1877.9662894168391,1192.3761746964499,1649.436073928831,10,-37.32945877724296,-24.730766439923464,-24.730766439923464,10 days
2023-11-20,183,40,1876.3933946384032,2064.2648741497355,1643.9498859474718,2149.0416047285407,10,5.486187981359308,3.6345995376505416,3.6345995376505416,10 days
2023-11-30,197,40,1987.33861357431,2504.8936506190457,2099.1990497053384,2847.575579515489,10,49.842555023202294,33.02069270287152,33.02069270287152,10 days
2023-12-10,235,40,2433.8651409033027,3973.5682137776835,2852.957281809928,3538.7099851163007,10,-5.381702294439037,-3.5653777700658624,-3.5653777700658624,10 days
2023-12-20,344,40,4137.668090952172,4137.668090952172,3665.867061708399,3701.9680787894267,10,-127.15707659209829,-84.24156324226513,-42.120781621132565,10 days
2023-12-30,236,40,4426.067953269723,2994.6679316384225,3778.36416250274,3649.8986674333464,10,-76.39608371331315,-50.61240546006996,-50.61240546006996,10 days
2024-01-09,254,40,2771.3564432863263,3817.3599797094435,3696.9525686583615,4160.306488886437,10,-47.053901225015125,-31.17320956157252,-31.17320956157252,10 days
2024-01-19,327,40,3893.433309419035,5668.891555311445,4140.300066199783,5337.337156413815,10,20.006422686654332,13.254255029908496,13.254255029908496,10 days
2024-01-29,441,40,5756.110445893989,6525.759934220554,5436.699671172092,6285.068915911751,10,-99.36251475827703,-65.82766602735853,-32.913833013679266,10 days
2024-02-08,487,40,6660.5552582032515,6660.5552582032515,6437.404468929172,6330.12622168196,10,-152.33555301742126,-100.92230387404159,-50.461151937020794,10 days
2024-02-18,368,40,6895.547702690277,5804.0634726220715,6398.472522209809,6034.644445520407,10,-68.34630052784905,-45.279424099699995,-45.279424099699995,10 days
2024-02-28,426,40,5639.314605735897,5639.314605735897,6030.857236073755,5269.550931331528,10,3.787209446652014,2.5090262584069594,2.5090262584069594,10 days
2024-03-09,220,40,5557.709399795092,4365.274715636612,5207.164845048781,5446.574721305465,10,62.386086282746874,41.33078216231981,41.33078216231981,10 days
2024-03-19,342,40,4424.470529615353,6335.134842543883,5299.841298490328,5539.251174747012,10,146.7334228151367,97.21089261502806,97.21089261502806,10 days
2024-03-29,458,40,5917.343966060538,5917.343966060538,5387.628490243469,5768.377290709202,10,151.6226845035426,100.45002848359697,100.45002848359697,10 days
2024-04-08,403,40,5821.070975054517,5052.65306352318,5518.6818177292125,4764.618675457606,10,249.69547297998906,165.42325084924275,165.42325084924275,10 days
2024-04-18,287,40,4817.630512072584,3323.858996789095,4663.471507817856,2989.236888070169,10,101.14716763974957,67.00999856133409,67.00999856133409,10 days
