date_grid,mld,zeu,int_N_mmol_m2,next_int_N_mmol_m2,int_N_smooth,next_int_N_smooth,dt,nitrate_consumption,c_consumption,NCP,time_step_label
2020-02-17,1004,40,15626.555376941875,15626.555376941875,12536.11908531934,15003.080045333481,15,61.83400687243375,27.31001970199157,27.31001970199157,15 days
2020-03-03,738.4,40,15372.618943206395,13704.699845150266,14898.227283648812,14342.254250963437,15,104.85276168466953,46.30996974406238,46.30996974406238,15 days
2020-03-18,901.3333333333334,40,13695.50753079817,13695.50753079817,14218.158056439031,10364.061654041181,15,124.09619452440529,54.80915258161234,54.80915258161234,15 days
2020-04-02,272.8,40,13586.347695312534,3691.9775861751045,10283.90965782551,6054.204800314555,15,80.1519962156708,35.40046499525461,35.40046499525461,15 days
2020-04-17,52.166666666666664,40,3569.8737473658243,775.1292839703902,5943.481742848448,1713.7768853374937,15,110.72305746610618,48.9026837141969,48.9026837141969,15 days
2020-05-02,70,40,674.2237858669847,674.2237858669847,1616.0701099120572,626.356342673892,15,97.70677542543649,43.15382581290112,43.15382581290112,15 days
2020-05-17,54.333333333333336,40,604.1127965033627,429.71595818429927,535.1884328415728,438.63014365156454,15,91.1679098323192,40.265826842607645,40.265826842607645,15 days
2020-06-01,31.88888888888889,40,327.2287161543707,211.9506869034079,369.37022541194096,272.8119362219327,15,69.25991823962357,30.589797222500412,30.589797222500412,15 days
2020-06-16,15.8,40,176.76916357808915,176.76916357808915,226.47394137750476,188.0479316271843,15,46.337994844427925,20.465947722955665,20.465947722955665,15 days
2020-07-01,20.25,40,175.4239444000542,175.4239444000542,167.1928275809403,167.1928275809408,15,20.85510404624401,9.211004287091104,9.211004287091104,15 days
2020-07-16,20.666666666666668,40,149.38537476467732,149.38537476467732,166.70104979852334,166.70104979852383,15,0.49177778241744363,0.2172018539010376,0.2172018539010376,15 days
2020-07-31,15.333333333333334,40,175.2938302308382,175.2938302308382,147.63883484722354,147.638834847224,15,19.06221495130029,8.419144936824296,8.419144936824296,15 days
2020-08-15,22.5,40,118.2372995461548,118.2372995461548,144.86678947228117,166.65115100221422,15,2.77204537494282,1.2243200405997456,1.2243200405997456,15 days
2020-08-30,27.157894736842106,40,141.0692386398502,206.42232322964793,178.30127368366388,231.57723200194243,15,-11.650122681449659,-5.145470850973599,-5.145470850973599,15 days
2020-09-14,47.285714285714285,40,275.59728286498637,370.0720732300229,267.7294728718382,367.05211172149683,15,-36.15224086989576,-15.967239717537295,-15.967239717537295,15 days
2020-09-29,56.95,40,386.5218971106778,524.6619387048179,393.2987554885049,535.6603076716876,15,-26.246643767008095,-11.592267663761909,-11.592267663761909,15 days
2020-10-14,70,40,517.7770864898504,712.2469110802205,581.5883257968698,736.9462313009475,15,-45.92801812518212,-20.284874671955436,-20.284874671955436,15 days
2020-10-29,87.15789473684211,40,840.465993790081,973.9298441178024,794.2912300175249,945.5779636738848,15,-57.34499871657738,-25.327374433155008,-25.327374433155008,15 days
2020-11-13,98.29411764705883,40,1024.6306097726429,1150.5571358236298,1006.3574115451833,1172.7077014023466,15,-60.77944787129843,-26.84425614315681,-26.84425614315681,15 days
2020-11-28,108.55,40,1153.9756310728255,1393.636124265606,1229.2104589168077,1390.4862588886374,15,-56.50275751446111,-24.95538456888699,-24.95538456888699,15 days
2020-12-13,128.25,40,1509.025135904955,1627.2655165766746,1431.2462719307114,1731.031551671251,15,-40.76001304207398,-18.002339093582677,-18.002339093582677,15 days
2020-12-28,137.22222222222223,40,1630.738048814353,2172.193014171471,1771.7973359111402,2329.8088202067997,15,-40.76578423988917,-18.004888039284385,-18.004888039284385,15 days
2021-01-12,177.0909090909091,40,2175.6288230141126,3189.967929872252,2361.0302559072256,3274.4157777871665,15,-31.2214357004259,-13.789467434354773,-13.789467434354773,15 days
2021-01-27,247.07142857142858,40,3276.7238958932103,4461.086389317776,3325.561429547148,4676.169075822221,15,-51.14565175998132,-22.589329527325084,-22.589329527325084,15 days
2021-02-11,325,40,4524.33156973412,6377.452908276635,4711.9586505611,6206.972193349805,15,-35.7895747388784,-15.80706217633796,-15.80706217633796,15 days
2021-02-26,444.9230769230769,40,6334.820486055966,7782.377282455002,6217.405987108468,7317.632032088985,15,-10.433793758663342,-4.60825891007631,-4.60825891007631,15 days
2021-03-13,538.3,40,7793.065905535318,7793.065905535318,7285.67845204847,6372.916386002125,15,31.95358004051559,14.112831184561053,14.112831184561053,15 days
2021-03-28,259.2307692307692,40,7729.148964554127,3543.3059700160557,6283.450979122059,4462.242363485803,15,89.46540688006644,39.51388803869601,39.51388803869601,15 days
2021-04-12,170.1,40,3328.1380672767305,2050.355214906036,4294.953947413054,2139.6500787708774,15,167.288416072749,73.88571709879746,73.88571709879746,15 days
