date_grid,NCP_mean,NCP_sd,NCP_q05,NCP_q95,n_iter,time_step_label
2020-02-17,29.956709497909817,28.693131151776036,-15.022316992776842,77.42511333140642,100,15 days
2020-03-03,41.12679628019029,37.82811063990387,-8.906541885502945,107.91323743591956,100,15 days
2020-03-18,50.4752753172459,22.54035599894388,14.094916444916676,86.7377107711883,100,15 days
2020-04-02,23.17174076453133,32.170769482145666,-34.336650415917795,76.51607327997138,100,15 days
2020-04-17,51.848928598595535,38.324852569351165,-14.045330566415382,109.98948751290646,100,15 days
2020-05-02,48.71010121984667,23.77111664450488,14.915110412621761,92.56118256312737,100,15 days
2020-05-17,42.8004615582075,17.9226148508088,8.387758301560174,71.13073806091057,100,15 days
2020-06-01,29.758261543412953,7.193440674835354,17.11950984867865,39.929475637600895,100,15 days
2020-06-16,16.81467660996144,8.602581827192882,2.3307556304461303,30.66870446948191,100,15 days
2020-07-01,10.028504094639784,4.756242502661344,2.3050688097286938,17.559880823959347,100,15 days
2020-07-16,0.46153571443681807,2.7546797849312195,-4.189017029347754,4.963577505644671,100,15 days
2020-07-31,8.516493264486002,2.550345015467759,4.66625597258407,12.77913558302049,100,15 days
2020-08-15,1.375584133616256,2.3191264195151162,-2.057693512181081,5.143060664691815,100,15 days
2020-08-30,-5.433319979383763,2.2548487803901947,-8.618734482930414,-1.9092079521584477,100,15 days
2020-09-14,-17.16744187884583,2.3619510777004664,-20.947943336606475,-13.190848497370606,100,15 days
2020-09-29,-12.786648880527848,2.737202923338868,-16.934954580362525,-8.469584393763732,100,15 days
2020-10-14,-20.95653406233907,4.577991145366133,-28.895159617304053,-13.842618547504058,100,15 days
2020-10-29,-25.0757512872327,6.420073888833003,-34.00511844138751,-14.507166361218623,100,15 days
2020-11-13,-20.856374733531013,6.562163239317771,-31.42422284350098,-9.314945985172642,100,15 days
2020-11-28,-20.362737048802167,7.504978435529659,-31.791164083349333,-8.682304808897348,100,15 days
2020-12-13,-13.522271290377706,7.056433235651954,-24.596678531928355,-2.6063036635938412,100,15 days
