date_grid,mld,zeu,int_N_mmol_m2,next_int_N_mmol_m2,mld_concentration,sub_mld_concentration,int_N_smooth,next_int_N_smooth,dt,diff_mld,we,delta,diff,nitrate_consumption,c_consumption,NCP,time_step_label
2020-02-01,86.83637104580286,40.00000000000156,1078.213013215887,1063.7857300310975,12.493540826801196,12.730926257968056,1093.8609879060807,1078.9659192362778,10,-1.1575459511748392,0,0.23738543116686017,0,-47.39938227767561,-31.402090758960092,-31.402090758960092,10 days
2020-02-11,85.6953112563387,40.000000000000576,1142.6284670002044,1127.390832315861,13.330906869993067,13.517749332605344,1117.8735213968139,1103.5315295240637,10,-1.1410597894641654,0,0.18684246261227777,0,-38.907602160536044,-25.77628643135513,-25.77628643135513,10 days
2020-02-21,84.70295542435647,40,1132.7790839743502,1119.4180262252323,13.386491126852508,13.581415507535178,1141.2969241309202,1126.6999210658637,10,-0.9923558319822234,0,0.1949243806826697,0,-37.76539460685649,-25.019573927042423,-25.019573927042423,10 days
2020-03-02,83.60061158734847,39.99999999999963,1148.4832214182059,1133.2909046564978,13.73463498046237,13.91128389200638,1126.2819081327668,1111.9739047913397,10,-1.1023438370080072,0,0.1766489115440102,0,0.41801293309686116,0.27693356817667053,0.27693356817667053,10 days
2020-03-12,82.52295164703393,39.999999999999474,1097.5834190057442,1083.2127834922885,13.307227294632145,13.499127097143676,1112.6420166870791,1098.0674542043714,10,-1.0776599403145326,0,0.19189980251153038,0,-0.6681118957394574,-0.4426241309273905,-0.4426241309273905,10 days
2020-03-22,81.47281874849364,39.99999999999945,1091.859409637287,1077.6986744643275,13.437265432763223,13.620795410010526,1062.6108961446055,1048.7179960915678,10,-1.0501328985402978,0,0.18352997724730358,0,35.45655805976594,23.489969714594935,23.489969714594935,10 days
2020-04-01,80.4530560368083,39.999999999999524,998.3898597907853,985.2425303180872,12.66814985702103,13.180019513340648,1035.395316954163,1022.0425811449303,10,-1.0197627116853312,0,0.5118696563196181,0,13.322679137404748,8.826274928530646,8.826274928530646,10 days
2020-04-11,79.46650665705869,39.99999999999962,1015.9366814344166,1003.186538652376,12.855141975875545,13.091910533594037,973.4618275474659,960.4335597984394,10,-0.9865493797496185,0,0.23676855771849148,0,48.58075359746442,32.18474925832018,32.18474925832018,10 days
2020-04-21,78.40832944477071,39.999999999999744,906.0589414171959,892.8716104248548,11.89529151505441,13.0437101651516,910.1696135812198,897.7069119666413,10,-1.0581772122879727,0,1.1484186500971898,0,50.263946217219654,33.29986436890802,33.29986436890802,10 days
2020-05-01,77.50120076111239,39.99999999999984,808.5132178920467,797.0625868226932,11.864907122298787,13.026902346538552,823.7212021606914,811.7324007957644,10,-0.9071286836583283,0,1.1619952242397655,0,73.98570980594991,49.01553274644182,49.01553274644182,10 days
2020-05-11,76.62331405919711,39.999999999999915,756.5914471728317,745.2630051397449,12.17269189589957,13.180866524718084,762.20784583971,750.835742940361,10,-0.8778867019152727,0,1.008174628818514,0,49.52455495605443,32.81001765838606,32.81001765838606,10 days
2020-05-21,75.76143948564922,39.999999999999964,721.5188724542516,710.1816368586449,12.142710804872747,12.949069493550473,734.9807320824008,723.3225318607998,10,-0.8618745735478939,0,0.8063586886777259,0,15.855010857960224,10.503944693398648,10.503944693398648,10 days
2020-05-31,74.87425428435105,40.00000000000001,726.8318766201189,714.5229535840097,12.527695875356796,14.279359841623167,747.9384580912127,737.5611622801931,10,-0.8871852012981662,0,1.7516639662663707,0,-24.615926230412924,-16.30805112764856,-16.30805112764856,10 days
2020-06-10,74.169649272362,40.000000000000014,795.4646251992675,787.9788963979252,13.828900532629214,15.268794825173226,699.3060905726635,688.7514218685395,10,-0.7046050119890594,0,1.439894292544011,0,38.25507170752962,25.343985006238377,25.343985006238377,10 days
2020-06-20,73.238100801851175,40.00000000000003,575.621769898604,563.7524156236839,11.024234292093475,13.70203688173935,675.6662667298675,665.0185769125767,10,-0.931548470510819,0,2.677802589645875,0,13.085155138672008,8.668915279370205,8.668915279370205,10 days
2020-06-30,72.35126737084579,40.00000000000002,655.9124050917311,643.324418716121,12.635212297310199,14.21405053194007,627.9407845414966,616.3459103664583,10,-0.8868334310053854,0,1.5788382346298704,0,37.077792371080136,24.56403744584059,24.56403744584059,10 days
2020-07-10,71.67848409581244,39.99999999999999,652.2881786341543,641.96089675957,11.666279647925474,14.06012752946663,616.6548282020904,605.1691826084793,10,-0.6727832750333533,0,2.3938478815411557,0,-0.3089178356320872,-0.20465806610625775,-0.20465806610625775,10 days
2020-07-20,70.92957816340453,39.99999999999998,541.7639008803857,530.222232349747,12.066952619056629,14.378324760085615,577.4925360441006,568.3630067360962,10,-0.7489059324079079,0,2.3113721410289862,0,27.676646564378757,18.335778348900924,18.335778348900924,10 days
2020-07-30,70.20244778043816,39.99999999999996,538.4255286177619,532.9058910989716,11.579906703699141,14.076531560728549,512.46972727586,503.20979624321217,10,-0.7271303829663651,0,2.496624857029408,0,55.89327946023616,37.029297642406455,37.029297642406455,10 days
2020-08-09,69.49797339868874,39.99999999999995,457.21975232943254,446.501265280918,10.547177600519229,14.01906732272003,470.6964504195502,461.9123102852107,10,-0.7044743817494208,0,3.4718897222008014,0,32.51334582366195,21.54009160817604,21.54009160817604,10 days
2020-08-19,68.81703546993168,39.99999999999993,416.44407031145613,406.32977447574257,9.584495997375429,14.001054797508464,447.4824720948739,439.04746453355307,10,-0.6809379287570607,0,4.416558800133036,0,14.429838190336795,9.559767801098127,9.559767801098127,10 days
2020-08-29,68.1605144459424,39.999999999999936,468.7835936437331,464.31135384399875,11.806365799391624,14.287579595258858,438.7110326917884,430.30697202956827,10,-0.6565210239892849,0,2.481213795867234,0,0.33643184176469276,0.22288609516910896,0.22288609516910896,10 days
