date_bin,npp_mean,npp_sd,n_profiles
2021-08-24,1245.2968041193144,50.53444144151336,2
2022-05-21,2060.028081206745,,1
2022-06-05,1134.335907750166,,1
2022-07-20,1488.3263083679442,291.916696795846,3
2022-08-04,990.684793557088,,1
2022-09-18,1137.0479605382616,,1
2022-10-18,308.0387680922891,,1
2022-11-02,233.37129540997552,,1
2022-11-17,38.38442316400951,12.58784683757034,2
2023-01-01,51.08475374173136,,1
2023-01-31,160.34467359041713,,1
2023-02-15,127.23294379029812,,1
2023-03-02,407.81329704693445,57.23670894642573,2
2023-03-17,212.01255874793543,,1
2023-04-01,276.940814542572,,1
2023-04-16,641.5769511625583,86.29608773196009,2
2023-05-16,786.4024302256333,,1
2023-06-15,2084.976552001648,,1
2023-07-15,1412.385652079059,,1
2023-08-14,1125.3562344240063,,1
2023-08-29,798.1899644341831,,1
2024-08-23,610.1151872759929,,1
2024-09-07,1411.9500510504483,105.96744652952107,2
2024-09-22,988.2160666975036,204.17707337100313,3
2024-10-07,475.34298643305254,314.13333196721095,4
2024-10-22,437.904785132155,218.9884855003446,4
2024-11-06,366.48549791031047,,1
2024-11-21,306.39423022699987,140.54118628750484,2
2024-12-06,150.9887424524447,,1
2024-12-21,105.5824762017118,,1
2025-01-05,81.17913530284483,,1
2025-01-20,148.24240487118283,,1
2025-02-04,61.10096271312789,,1
2025-03-06,460.00857653934816,,1
2025-03-21,117.14629996675978,,1
2025-04-05,266.0176294986478,,1
2025-04-20,1006.4008080847008,,1
2025-05-20,1583.021674351463,370.6609797446076,2
2025-06-04,1105.3955726424078,391.7440231142149,2
2025-06-19,1200.8617345863745,,1
2025-07-04,947.4470158465688,,1
2025-07-19,1039.8914274432211,,1
2025-08-18,956.8759254384968,370.26275035547116,2
2025-10-17,524.7158368935975,,1
2025-11-16,321.228278156163,,1
