date_grid,NCP_mean,NCP_sd,NCP_q05,NCP_q95,n_iter,time_step_label
2020-02-02,-11.491481945056547,29.938953607614575,-52.70100818020877,39.73699362567132,200,10 days
2020-02-12,-24.20176832599269,23.778325787171045,-54.333503019543336,19.15039745585822,200,10 days
2020-02-22,-17.22876158664165,27.09436658640449,-53.88340964612087,33.800541493966,200,10 days
2020-03-03,-13.812113654932322,27.307150108838485,-54.555259442433474,34.6818820788386,200,10 days
2020-03-13,21.672846152976245,37.64512683438234,-36.82758332114829,84.94118640055596,200,10 days
2020-03-23,14.776547308701208,36.4923837202874,-42.1974449107532,76.7259274340513,200,10 days
2020-04-02,24.47641933327062,29.703606712880315,-24.68950079914582,67.3756966783114,200,10 days
2020-04-12,27.07823110951078,40.5764839285198,-39.91701315117375,92.96360855195776,200,10 days
2020-04-22,29.584493845700326,33.66232901973112,-21.711384209621997,87.8717840308853,200,10 days
2020-05-02,22.1515947319121,28.821150860579436,-28.610851769148386,73.96601416479592,200,10 days
2020-05-12,9.030278807260643,30.006284533333734,-35.92098970438726,59.846725242123824,200,10 days
2020-05-22,30.142584331442244,26.043762692592487,-13.680934365579391,69.00235993172589,200,10 days
2020-06-01,35.2185176312896,26.541292838038448,-8.342762046363848,73.8259006641199,200,10 days
2020-06-11,29.562725120599907,22.69314088447963,-6.980340106259786,67.34434247869453,200,10 days
2020-06-21,12.252722539870978,23.072420549046555,-22.845687136554687,50.54228275850095,200,10 days
2020-07-01,3.0520592590043765,24.174692608109027,-35.645181875868985,43.304277567794855,200,10 days
2020-07-11,5.259398317254341,22.043759461328815,-28.586028656289933,38.52804918177039,200,10 days
2020-07-21,17.27633930839874,20.617993938627258,-17.522951434792702,48.75738063874517,200,10 days
2020-07-31,8.523040481426106,19.810210604663933,-22.896626281799996,41.79577770132366,200,10 days
2020-08-10,23.215719390659558,22.376501943466085,-13.430722174032047,60.27002756611675,200,10 days
2020-08-20,-0.5912190857806267,22.04024394249297,-32.89386036613275,34.53840461082271,200,10 days
2020-08-30,10.380309664226465,21.439296570547853,-22.91838849828947,43.340212161870284,200,10 days
2020-09-09,-10.6190151068765,20.37317879402277,-42.80338753778284,18.6220162599003,200,10 days
2020-09-19,-32.37796903788926,16.996942861189194,-55.41308324298824,1.8596223661195619,200,10 days
2020-09-29,-29.771771148181717,17.292934339692373,-53.37008987349318,3.122304309377008,200,10 days
2020-10-09,-38.30712991335785,12.595134068369244,-57.24562191368295,-17.766207917541376,200,10 days
2020-10-19,-21.675148652734,15.719958696696278,-48.468463899222904,1.4929997836172877,200,10 days
2020-10-29,-31.666345931081402,15.581530840420472,-53.78124547338942,-3.3281556279780156,200,10 days
2020-11-08,-25.169902699430956,13.53510767491792,-45.96972024726269,-2.254110155062267,200,10 days
2020-11-18,-14.650730555114336,13.935264369019267,-35.325370545643196,6.999262508405484,200,10 days
2020-11-28,-10.489636199872221,12.277778229251004,-29.829059558399145,8.909167357328714,200,10 days
2020-12-08,-8.890460653389427,12.872544864719739,-29.621782209946016,11.797304010208933,200,10 days
2020-12-18,-5.083541869671918,13.999358023155958,-29.63105070227198,19.41353587067175,200,10 days
2020-12-28,-0.5941334103003832,10.47460595532753,-16.347268950330733,17.44063937889772,200,10 days
2021-01-07,-4.100653609775974,10.397531054189564,-21.6024005301019,14.418132632874354,200,10 days
2021-01-17,-2.986793624350757,10.41582525428126,-19.68921254944681,14.129177905772789,200,10 days
2021-01-27,-1.803298424846595,9.727003566666513,-16.96238499784452,13.178112979094486,200,10 days
2021-02-06,2.103396768199087,9.568880204567183,-12.795959091364422,16.349426248038107,200,10 days
2021-02-16,-2.7198182111737856,10.333876981054951,-19.040585616070153,14.8932399555423,200,10 days
2021-02-26,-3.8865437167145886,9.934273547893461,-19.518766460413563,12.149755503661323,200,10 days
2021-03-08,-2.4343133364914333,9.372329681667464,-16.928259814660517,11.628018181910031,200,10 days
2021-03-18,-4.0612286074437876,10.364473386015057,-19.771923803916952,12.710622185875016,200,10 days
2021-03-28,4.356901604860595,10.031136410810957,-12.597924669589206,20.346999246417063,200,10 days
2021-04-07,4.136088140779884,9.069307435201035,-9.531915722805557,19.597606230044157,200,10 days
2021-04-17,20.036465534593642,9.395239167159524,4.475288478841048,36.698792900379885,200,10 days
2021-04-27,24.48183363477431,10.160581574751212,7.484097362981349,38.413251522360696,200,10 days
2021-05-07,26.96202542342642,9.543395981565553,11.891957081873016,40.91381143535017,200,10 days
2021-05-17,21.208594087256905,9.465323938458052,7.167253405989242,36.377221416934105,200,10 days
2021-05-27,16.947733925900305,8.536128688452926,4.375010258526672,31.659373303744477,200,10 days
2021-06-06,33.418253196538764,7.260725497070655,21.805207897268357,45.34302975262422,200,10 days
2021-06-16,34.77877265202872,8.85933275672574,21.485439782259085,50.348339396667804,200,10 days
2021-06-26,32.85640754035681,7.2003637647051795,21.322995817434585,44.21948954788325,200,10 days
2021-07-06,20.234230769433573,5.986895849394018,10.129702972632716,29.733810080736223,200,10 days
2021-07-16,22.41610490267533,6.894414578149578,11.676602755875969,33.20164143321131,200,10 days
2021-07-26,29.41414416822384,6.15201982849908,19.510824872475215,39.144943792975816,200,10 days
2021-08-05,28.358110214557914,7.883967793218932,15.791998889625619,41.94848756138986,200,10 days
2021-08-15,19.234090071063772,7.974998011772736,7.155909799657931,31.45269653382195,200,10 days
2021-08-25,13.28984825450798,8.18247632656716,1.4846690186043516,26.85621856288975,200,10 days
2021-09-04,10.911613228836542,9.787530070324783,-3.6204539275897694,27.77194253869707,200,10 days
2021-09-14,18.60117175702103,10.386213103905089,0.5148556253191513,34.7405341639126,200,10 days
2021-09-24,16.966172977728718,14.94456228059394,-8.172716877856477,41.540071415440856,200,10 days
2021-10-04,22.740707244905977,12.659910052448355,0.5935815854579235,42.031570193182844,200,10 days
2021-10-14,18.58190743147135,12.45261090500633,-1.2702652262134155,38.964124301827816,200,10 days
2021-10-24,18.806225337770567,19.80346535366505,-11.381818906345881,50.74798971881899,200,10 days
2021-11-03,-9.575596743660867,15.372892343301547,-35.822627511836615,15.3377683599799,200,10 days
2021-11-13,-15.54019270935351,15.62459423570625,-39.121548434111716,11.479546259986172,200,10 days
2021-11-23,-39.57720682664848,11.006597700702358,-57.21118721746854,-20.593064566565857,200,10 days
2021-12-03,-35.97081827730065,13.166216997685577,-54.657931320514834,-15.186087236646372,200,10 days
2021-12-13,-25.43688182247182,16.04026732848467,-49.65944745216137,4.775593887357584,200,10 days
2021-12-23,-5.169808298152442,21.250782647713052,-38.47697912227613,33.45021439558025,200,10 days
2022-01-02,-4.213925163758767,21.6020046423104,-37.61999273864774,29.463414759293464,200,10 days
2022-01-12,-23.694205469064336,19.893334677066434,-53.9962025939374,9.926307616329398,200,10 days
