date_bin,npp_mean,npp_sd,n_profiles
2023-04-16,1100.6955622803243,,1
2023-07-15,1770.403592554175,,1
2023-07-30,1461.29508169557,,1
2023-10-13,809.2143274007093,,1
2023-10-28,774.069848912677,,1
2023-11-27,67.76191772298131,,1
2023-12-12,118.05306267406988,,1
2024-01-11,153.97233554459194,,1
2024-02-25,325.57535929098657,,1
2024-04-10,773.5989877489366,,1
2024-04-25,1126.7583913927094,217.78648096410458,5
2024-05-10,1182.9345904787488,216.84095517635916,3
2024-05-25,1364.7739045968847,132.95860852368386,4
2024-06-09,1369.5063434416904,490.07058419381303,5
2024-06-24,1423.1905608352392,69.77749979792121,3
2024-07-09,1624.997721602751,103.37227887976663,2
2024-07-24,1350.4481596493151,166.7061791495543,4
2024-08-08,1185.1048929666956,247.07939532245345,7
2024-08-23,989.3597859476513,328.85474775370074,10
2024-09-07,909.9179258246129,327.84629202745447,16
2024-09-22,753.2168313777707,340.12345340986116,7
2024-10-07,442.391923399319,171.75550542081496,6
2024-10-22,241.02856422258614,131.348575153745,7
2024-11-06,169.25713731001633,103.56848079694812,8
2024-11-21,55.11691853696326,29.852310823948734,9
2024-12-06,38.68884485237812,21.324507301160732,11
2024-12-21,18.587902448799184,22.452374615383544,8
2025-01-05,39.77233266924172,43.14298803012936,9
2025-01-20,77.37701643109986,49.38383143560615,5
2025-02-04,150.14819365916412,102.20163360576026,9
2025-02-19,190.3860235217126,140.21455979962676,18
2025-03-06,298.37966262673643,124.73802377534325,9
2025-03-21,337.7448279870648,175.37150520676033,12
2025-04-05,597.2450510984075,224.19709607453956,6
2025-04-20,991.6282088988308,357.84362708882674,7
2025-05-05,1281.7185475925646,441.212139722208,4
2025-05-20,1553.8456004914042,1094.563033401652,8
2025-06-04,1215.774556500451,514.7778017820806,6
2025-06-19,1337.7929798530752,232.07036070289644,8
2025-07-04,1541.465358702443,61.97716500429257,3
2025-07-19,1510.5890119969154,427.9310514022761,7
2025-08-03,1356.3790387928113,336.7866950033954,6
2025-08-18,1468.098221265833,303.7704961228721,7
2025-09-02,1381.9933749527713,185.78046203937046,4
2025-09-17,949.9005876940258,332.0859651236868,5
2025-10-02,574.3151241090682,320.512168316173,3
2025-10-17,475.93246123890333,186.5443156256316,5
2025-11-01,218.589840217223,154.96684387489864,4
2025-11-16,142.9786205058468,79.38458427203244,3
